SaleID,ProductID,Quantity,Date,TotalAmount
1,47,2,2024-07-19,961.3
2,90,6,2023-08-29,830.7
3,47,7,2023-07-12,2900.66
4,14,9,2024-10-29,2935.98
5,37,8,2023-12-01,1311.12
6,11,8,2023-10-13,2157.6
7,36,7,2023-07-22,2404.22
8,34,7,2023-09-17,2102.52
9,25,9,2024-07-04,3656.52
10,42,2,2024-07-25,298.46
11,10,3,2024-03-22,950.01
12,38,10,2024-08-30,2860.6
13,87,2,2024-09-09,567.28
14,64,9,2024-01-16,3158.91
15,49,3,2023-12-20,812.31
16,80,6,2024-08-16,1303.38
17,84,5,2024-04-26,2433.1
18,38,7,2024-04-19,197.19
19,69,7,2023-07-21,1631.28
20,71,1,2023-12-01,380.99
21,49,8,2024-03-08,2298.08
22,70,2,2024-07-02,442.08
23,47,7,2024-04-10,566.44
24,3,5,2024-03-07,500.0
25,7,1,2024-06-05,161.41
26,45,4,2023-10-27,891.88
27,36,7,2024-02-19,1383.13
28,67,7,2023-11-20,1665.93
29,82,5,2024-05-23,1829.5
30,12,4,2024-10-17,642.36
31,95,3,2024-07-16,217.65
32,30,2,2023-08-28,948.64
33,46,8,2024-09-26,638.72
34,49,9,2023-07-10,1559.88
35,77,4,2024-03-20,1908.48
36,13,1,2023-11-06,170.61
37,97,4,2023-10-30,426.36
38,37,5,2023-09-24,2427.8
39,44,2,2024-08-01,687.56
40,82,3,2023-09-26,469.62
41,78,7,2024-05-01,1639.26
42,22,2,2024-01-15,226.78
43,78,9,2024-01-02,1843.65
44,79,4,2023-07-08,707.52
45,54,10,2024-09-23,4234.8
46,62,7,2023-12-12,1602.58
47,54,1,2023-09-12,185.51
48,45,3,2024-08-20,1367.19
49,56,10,2023-11-28,3768.1
50,92,1,2023-07-06,147.71
51,89,1,2024-01-05,377.03
52,77,6,2024-08-28,1064.28
53,43,5,2024-09-22,2488.05
54,66,9,2024-05-31,4489.47
55,10,7,2024-01-22,2780.89
56,97,10,2023-11-11,3750.1
57,22,10,2024-09-22,2983.1
58,40,10,2024-07-08,2153.8
59,88,7,2024-02-11,866.6
60,52,5,2023-08-17,771.0
61,4,2,2024-09-24,995.78
62,19,4,2023-11-14,1084.56
63,61,1,2024-07-30,127.16
64,95,10,2024-02-02,4136.3
65,65,6,2024-03-19,1265.82
66,9,1,2023-09-24,49.16
67,98,1,2023-08-25,118.84
68,19,9,2023-09-03,96.12
69,100,8,2024-03-18,3026.88
70,33,6,2024-02-24,150.6
71,67,7,2024-04-19,1572.27
72,83,2,2024-01-21,244.5
73,27,1,2024-05-01,190.77
74,1,3,2024-08-19,110.16
75,89,5,2024-07-13,1618.95
76,63,6,2024-10-09,843.48
77,53,2,2024-03-17,762.52
78,8,8,2024-05-01,3999.2
79,22,7,2024-02-29,349.09
80,96,3,2024-07-24,879.06
81,49,4,2024-01-26,876.48
82,46,5,2024-09-11,337.3
83,14,2,2023-11-28,296.2
84,64,4,2023-10-01,1868.52
85,58,4,2024-10-08,1452.04
86,32,7,2023-07-25,399.14
87,12,7,2024-05-14,2180.5
88,60,2,2024-05-30,535.26
89,37,6,2024-06-26,449.52
90,48,4,2024-04-26,1476.2
91,18,7,2024-01-03,156.59
92,41,7,2023-07-16,2949.31
93,11,1,2023-10-10,123.29
94,34,4,2024-10-16,664.4
95,90,5,2023-08-11,922.1
96,15,2,2024-03-06,153.22
97,93,5,2024-03-19,2179.4
98,85,8,2024-10-12,1146.88
99,69,6,2024-03-06,959.04
100,7,6,2024-06-18,1280.34
101,15,2,2023-10-18,932.52
102,22,6,2024-07-10,1103.64
103,36,9,2024-05-10,3584.34
104,31,4,2024-05-01,937.24
105,13,7,2023-08-30,3128.79
106,45,7,2024-07-12,1139.25
107,69,6,2023-10-24,2275.08
108,51,10,2024-03-28,3957.7
109,60,1,2023-10-25,155.84
110,25,5,2023-08-05,518.6
111,60,2,2024-01-02,483.7
112,9,7,2024-02-02,341.11
113,2,1,2024-05-21,344.6
114,53,7,2024-01-06,3176.53
115,25,7,2024-10-13,600.74
116,7,2,2023-11-14,987.98
117,65,6,2024-07-11,2979.48
118,87,1,2024-03-02,63.6
119,45,3,2024-10-28,1332.69
120,49,3,2023-08-06,463.89
121,89,8,2024-02-20,2706.48
122,14,3,2023-10-13,1113.9
123,73,2,2023-07-10,610.66
124,92,10,2024-08-02,1793.7
125,11,9,2024-01-20,2676.33
126,3,2,2024-04-29,184.12
127,16,1,2024-08-08,412.15
128,84,1,2023-11-25,332.6
129,68,8,2024-04-12,3187.84
130,47,8,2023-11-30,173.52
131,100,9,2024-10-04,1619.91
132,79,3,2023-09-30,848.31
133,61,3,2023-10-28,551.88
134,40,5,2024-09-30,659.95
135,85,5,2023-10-29,943.35
136,30,6,2023-12-31,2275.92
137,25,1,2024-09-25,115.7
138,67,7,2024-01-26,991.13
139,75,2,2024-05-04,570.6
140,17,10,2024-05-10,2525.5
141,19,3,2023-08-03,515.88
142,1,8,2024-06-17,1225.84
143,95,7,2024-04-24,177.31
144,25,8,2023-10-12,3589.04
145,16,3,2023-06-24,1215.03
146,80,6,2024-10-03,2225.7
147,90,6,2023-07-12,1786.08
148,3,3,2023-08-19,426.54
149,25,6,2024-08-23,2782.92
150,97,3,2024-04-14,88.29
151,3,2,2024-06-28,612.82
152,21,8,2024-04-13,1693.36
153,34,2,2024-01-01,827.42
154,22,8,2023-07-28,2698.16
155,77,9,2024-10-26,1328.85
156,62,4,2024-09-01,1041.44
157,23,1,2024-05-25,243.07
158,74,10,2024-08-23,4063.4
159,8,5,2023-07-01,1175.4
160,74,2,2024-07-27,342.56
161,53,7,2023-12-31,364.84
162,46,4,2024-04-08,710.12
163,57,10,2023-11-05,3410.0
164,13,6,2024-02-23,799.02
165,59,8,2023-07-11,2484.24
166,93,7,2024-02-03,2888.83
167,64,1,2023-10-17,305.21
168,28,9,2024-04-03,3623.4
169,33,9,2024-06-06,3731.85
170,86,7,2024-10-23,2030.35
171,35,1,2024-01-12,257.65
172,73,4,2023-10-03,1807.84
173,3,8,2024-08-29,2597.92
174,82,8,2023-09-07,2239.44
175,19,8,2024-01-19,1910.08
176,83,2,2024-10-29,622.0
177,65,6,2024-02-26,1578.42
178,12,1,2024-07-16,341.81
179,48,2,2024-02-28,116.08
180,14,7,2024-02-21,1689.8
181,84,2,2023-09-02,856.12
182,18,2,2024-04-30,986.24
183,97,2,2023-07-12,632.02
184,18,3,2023-08-27,233.91
185,89,10,2024-08-27,2567.0
186,11,10,2023-08-30,3746.1
187,61,2,2023-08-24,262.3
188,10,6,2024-10-16,618.48
189,5,2,2023-11-07,69.34
190,5,4,2023-08-19,430.72
191,26,9,2023-07-03,2394.81
192,74,1,2023-09-15,346.15
193,61,7,2024-06-30,2394.35
194,26,2,2023-06-29,109.76
195,11,2,2023-09-09,81.34
196,65,6,2023-07-14,1763.76
197,58,2,2023-11-10,394.16
198,82,8,2024-01-23,1311.44
199,52,8,2023-12-03,1746.88
200,69,1,2023-09-01,187.91
201,15,8,2023-10-04,1578.32
202,40,4,2024-03-31,62.52
203,88,10,2023-12-16,466.4
204,16,5,2024-02-03,732.1
205,4,5,2024-04-30,1818.45
206,50,1,2023-10-29,263.42
207,85,1,2023-08-31,317.0
208,71,3,2023-11-22,1458.84
209,18,5,2023-06-27,2005.3
210,39,9,2023-07-15,1368.36
211,11,6,2023-08-13,431.58
212,96,3,2023-06-28,862.8
213,61,3,2023-12-20,548.43
214,96,8,2023-06-22,3241.28
215,60,3,2023-07-08,271.05
216,32,5,2023-07-22,2302.0
217,90,10,2023-10-18,656.7
218,17,3,2024-06-21,1089.99
219,38,5,2023-07-20,489.75
220,94,10,2024-01-18,2789.2
221,19,4,2024-01-06,68.72
222,59,7,2024-05-05,692.65
223,23,2,2024-10-12,95.78
224,36,6,2024-02-07,2737.56
225,8,6,2024-04-05,375.3
226,28,8,2024-06-30,1521.52
227,25,3,2023-10-03,454.59
228,62,1,2024-07-04,419.61
229,90,4,2023-09-11,990.68
230,38,5,2024-08-19,2376.65
231,98,1,2023-08-29,202.61
232,51,7,2023-08-03,2435.16
233,79,2,2023-07-01,49.1
234,46,1,2023-06-24,334.65
235,30,9,2024-03-18,372.33
236,44,4,2024-07-14,1624.4
237,34,8,2023-09-13,3314.96
238,92,6,2024-06-20,1592.34
239,84,1,2024-01-08,176.25
240,25,1,2024-02-24,355.85
241,57,6,2024-04-17,853.32
242,68,10,2024-08-23,1804.6
243,100,1,2024-04-11,140.41
244,99,1,2023-09-13,149.11
245,11,3,2024-07-11,553.2
246,33,5,2024-10-17,1276.0
247,70,5,2023-09-12,820.25
248,69,7,2024-08-22,2506.21
249,92,3,2023-11-10,619.71
250,64,7,2024-10-25,1349.46
251,73,10,2023-09-09,4603.3
252,27,5,2024-07-30,51.6
253,54,5,2024-09-23,2177.95
254,77,8,2024-06-25,2657.6
255,23,2,2023-09-10,919.58
256,37,10,2024-04-23,2197.6
257,23,2,2024-05-19,282.12
258,89,5,2024-05-03,1086.15
259,67,8,2023-08-31,929.2
260,40,6,2024-08-08,254.34
